Name,Product Price,Product URL,Rating,No. of Reviews,ASIN,Item Weight,Manufacturer,Model Number,Quantity,Generic Name,Description
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),598,https://amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF,4.3 out of 5 stars,"10,922",B084JGJ8PF,‎480 g,"‎Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039",‎Mii-007,1 U,Laptop Backpack,"With a slim, sleek and compact design you will love how this backpack can look small even with a spacious storage!"
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"1,199",https://amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M,4.0 out of 5 stars,"54,203",B07CJCGM1M,510 g,‎Samsonite,‎AMT FIZZ SCH BAG 02 - BLACK,1 count,Backpack,N/A
Skybags Brat Black 46 Cms Casual Backpack,669,https://amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD,4.1 out of 5 stars,"4,547",B08Z1HHHTD,390 g,VIP Industries Ltd,N/A,N/A,N/A,"Ideal for a college student who does not carry a lot of books or laptop to college. Very stylish, slim and feature loaded Backpack"
"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,299",https://amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G,4.2 out of 5 stars,203,B0BTD4FK9G,510 g,EXPERTS,LT9 (0) 01 002,N/A,BACKPACK,"A backpack isn’t just a bag. It’s a cache, a case, a mobile base of sorts. And it is a reflection of the care you’ve put into selecting the ideal loadout of items to keep on you. Introducing Valex, a modern everyday backpacks collections are available in a variety of nice looking colours to express your true self"
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),499,https://amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF,3.9 out of 5 stars,801,B09TPX22NF,530 g,ADISA,BP041,1.00 count,Laptop backpack,N/A
"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",529,https://amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93,3.9 out of 5 stars,"15,923",B085MHDJ93,600 g,Amazing Bags,bag for men,N/A,laptop bag,N/A
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",699,https://amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75,4.0 out of 5 stars,"4,023",B09VTCNN75,700 g,FUR JADEN,BM83,1.00 Unit,Anti Theft Laptop Backpack,"Stay organized all day with a durable and lightweight backpack from Fur Jaden. This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality. This backpack features an anti-theft design. You can also charge your phone on the go and organize your stuff like pro. Fur Jaden functional back pack is apt to protect your gadgets and belongings from being stolen while you travel, thanks to its special anti-theft design. Now keep your belongings safe with style. The backpack features multiple compartments that you may use for your laptop and other essentials. A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock in the back you may connect a portable power bank with ease. Weighing about 600grams, this backpack is lightweight. The backpack is able to house a laptop of up to 15.6 inches and has seven inner compartments to place your other essentials. Made from durable quality polymer this Fur Jaden back pack is sturdy and reliable. Flaunt this bag with style and low maintenance as this bag is washable. This backpack is also suitable for school or college. The straps are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels."
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,749,https://amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X,3.9 out of 5 stars,"2,764",B0BJ32LQ6X,670 g,Amazing Bags,laptop bag,N/A,N/A,"This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover."
SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),248,https://amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV,4.0 out of 5 stars,"19,027",B07Q7CNPMV,490 g,Safari Industries (India) Ltd,DAYPACKNEO15CBSEB,1 Count,Backpack,"Be it your short trips or your daily travel across the city, daypack has got you covered. With a 15 litre capacity daypack lets you carry your wallet, umbrella, kerchief, keys, earphones, Notepad, pens and other Essentials. The drawstring compartment lets you dump things that you pick up on your way. Compact Size and 2 Compartment."
"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,299",https://amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF,4.3 out of 5 stars,194,B0BTD4S4XF,510 g,EXPERTS,LT9 (0) 09 002,N/A,BACKPACK,"A backpack isn’t just a bag. It’s a cache, a case, a mobile base of sorts. And it is a reflection of the care you’ve put into selecting the ideal loadout of items to keep on you. Introducing Valex, a modern everyday backpacks collections are available in a variety of nice looking colours to express your true self"
"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port Laptop Bag, Office bag, college bag and anti -theft back pocket (Black)",599,https://amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y,3.8 out of 5 stars,"2,034",B09QJ7ZF2Y,680 g,N/A,LEGEND-1,N/A,N/A,N/A
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,899,https://amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5,4.3 out of 5 stars,"5,925",B07M9BRCQ5,760 g,FUR JADEN,DUFF05,1 count,Luggage- Carry-On Luggage,"Get your globe-trotting in full swing with this handy duffel bag, while also carrying your basic essentials. The minimalistic design allows the millennial in you to travel anywhere without any hassles. This versatile duffel bag from Fur Jaden can be carried in your hand or on your shoulders using a Shoulder Strap provided with the Bag. Fret not on your escapades as this will bear the wear and tear of persistent use in the long run. This sturdy duffel bag from Fur Jaden can be taken along with you for those business trips or weekend getaway. The minimalistic design of this duffel bag from Fur Jaden enhances the durable looks of it. Making it so sophisticated yet the versatile functionality of it creates an endless list of possibilities to carry about will keep the on-lookers admiring. Pack your stuff and go on a whimsical adventure to complete your bucket list. For those surprise plans, just grab your valuables and essentials and you will be good to go."
Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,698,https://amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ,4.1 out of 5 stars,"1,274",B098QFF5TJ,900 g,Wesley,Spartan Hiking,N/A,LAPTOP BACKPACK,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag
Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,"1,999",https://amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H,4.5 out of 5 stars,"7,037",B07BZ5VC4H,490 g,Safari Industries (India) Ltd,SEEK 45L 21 OB BLK,1 Count,Backpack,N/A
Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,899,https://amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ,3.9 out of 5 stars,"9,506",B08YZ8FFBZ,570 g,"Akshaya Rubbers, Hebbal Industrial Area, Mysore",Bingo 48L Laptop Bag,N/A,N/A,N/A
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",699,https://amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7,4.0 out of 5 stars,"4,023",B09VTDMRY7,700 g,FUR JADEN,BM83,1.00 Unit,Anti Theft Laptop Backpack,"Stay organized all day with a durable and lightweight backpack from Fur Jaden. This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality. This backpack features an anti-theft design. You can also charge your phone on the go and organize your stuff like pro. Fur Jaden functional back pack is apt to protect your gadgets and belongings from being stolen while you travel, thanks to its special anti-theft design. Now keep your belongings safe with style. The backpack features multiple compartments that you may use for your laptop and other essentials. A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock in the back you may connect a portable power bank with ease. Weighing about 600grams, this backpack is lightweight. The backpack is able to house a laptop of up to 15.6 inches and has seven inner compartments to place your other essentials. Made from durable quality polymer this Fur Jaden back pack is sturdy and reliable. Flaunt this bag with style and low maintenance as this bag is washable. This backpack is also suitable for school or college. The straps are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels."
"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",649,https://amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF,4.4 out of 5 stars,"3,042",B08R7RPVJF,‎480 g,"‎Lenovo, #43/3, Maruthi Mandira, Arisina Kunta, Next to Holiday Plam Hotel, Nelamangala, Bangalore 562123, India",‎GX41B33568,1 Piece,Backpack,N/A
ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey),599,https://amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53,3.8 out of 5 stars,141,B0BPVLXD53,650 g,ADISA,BP043,1 Piece,Laptop backpack,N/A
Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"1,099",https://amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP,4.3 out of 5 stars,"5,589",B075MK4TXP,680 g,‎Gear Merchandise PVT LTD,‎LBPASPIRE0104,1 count,Bag,N/A
Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,254,https://amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG,3.7 out of 5 stars,"6,446",B019HA8AYG,N/A,N/A,N/A,N/A,N/A,N/A
"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L, Charcoal black",598,https://amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV,4.3 out of 5 stars,"10,923",B085S444JV,‎480 g,"‎Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039",‎MII-007,1 Piece,Laptop Backpack,"With a slim, sleek and compact design you will love how this backpack can look small even with a spacious storage!"
"Genie Glitter Backpack for Women - 3 compartments, Laptop Bags for Girls, Stylish and Trendy College Backpacks for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose.","1,199",https://amazon.in/Genie-Glitter-Backpack-Women-compartments/dp/B097JHQH13,4.3 out of 5 stars,680,B097JHQH13,510 g,Safari,GLITTER19CBBLK,N/A,Casual Daypack,"How do you describe a Perfect Backpack? Spacious enough to carry a lot of stuff, yet Light Weight! Padded Laptop Sleeve to keep it secure and sound. Multiple Pockets to segregate all the items and keep it easily accessible. An Organizer to keep your each and every school supplies in an arranged manner. Side Pocket to keep the Water Bottle. Water Resistant exteriors to keep all your worries at bay and lastly, latest and trendy design to keep those ""Cute Bagpack"" compliment coming in! Yes. We have that Perfect Bag for you, in our Genie store. Bringing you a cute, stylish and trendy design, Genie Glitter School Bag."
Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Brown,988,https://amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH,4.4 out of 5 stars,"5,703",B07G4F6XFH,558 g,Gear Merchandise PVT LTD,LBPCLSLTH0201,1 count,Laptop Backpack,"Gear bags are designed for the quick commute as well for the long journey. these backpacks can be used as laptop bags,adventure bags and so on. Your favorite travel companion, The backpacks come with enough storage space to carry all your requirements."
Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,"1,199",https://amazon.in/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3,4.0 out of 5 stars,"7,625",B097RJ22Q3,800 g,Bagzone Lifestyle Pvt Ltd,DGGE529019M2,1 Count,Duffle Bag,This unisex stylish travel Bag is made of premium nylon fabric which is the most durable material. It is water and scratch resistant. It has a full lining made of polyester for additional strength and protection for your valuables.
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",799,https://amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B26VHXV,3.8 out of 5 stars,"2,708",B09B26VHXV,350 g,Safari Industries,FLASH19CBBLK,N/A,Backpack,N/A
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,749,https://amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4,3.9 out of 5 stars,"2,764",B09VCLZ3K4,670 g,Amazing Bags,laptop bag,N/A,N/A,"This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover."
Zipline Unisex Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag,843,https://amazon.in/Zipline-Nexa-Resistant-Bagpack-Backpack/dp/B08WQ668WJ,3.7 out of 5 stars,828,B08WQ668WJ,440 g,Atulitu Agency,N/A,1.00 count,N/A,"A super-slim design, trendy looks and durable construction - this stylish 36 L backpack from ZIPLINE has got everything that will complement your youthful personality. With its spacious interiors, this unisex backpack is a great option for short road trips, college and work. Ergonomic design Crafted from polyester, this medium backpack is sturdy enough to withstand regular wear and tear gracefully. It features a cushioned base and internal back padding to offer you extra comfort. The padded shoulder straps of this bag can be easily adjusted according to your liking. Spacious Featuring one front pocket and three main compartments, all with speciality zippers, this bag offers you enough space to carry your books, files, coins, travel accessories, stationery, keys and mobile accessories. It comes with the ZIPLINE promise of quality.Product Description"
Zipline Unisex casual polyester 36 L Backpack School Bag Women Men Boys Girls children Daypack College Bag Book School Sports Bag Weekend Bag,834,https://amazon.in/ZIPLINE-Polyester-Backpack-Children-Daypack/dp/B07XVMR33Q,4.0 out of 5 stars,"5,572",B07XVMR33Q,440 g,Atulitu Agency,N/A,1.00 Unit,N/A,N/A
